name,url
Eric Fithian,https://ericfithian.com
Rimmy E. Tomy,https://sites.google.com/chicagobooth.edu/rimmyetomy/home
Yegor Baranovski,https://www.linkedin.com/in/yegor-baranovski/
Jack Cook,https://www.linkedin.com/in/jack-t-cook
Sandeep Angara,https://scholar.google.com/citations?user=FuFbgEQAAAAJ&hl=en
Shauna Otto,https://www.linkedin.com/in/shauna-otto/
Zhuang-Fang Yi,https://scholar.google.com/citations?user=di3K1igAAAAJ&hl=en
John Zhu,http://johnszhu.com
Daniel A. Donoho,https://scholar.google.com/citations?user=xGBaNisAAAAJ&hl=en
X.Y. Han,https://xyhan.me
Neeraj Mainkar,https://www.linkedin.com/in/nmainkar/
Margaux Masson-Forsythe,https://margauxmasson.com